,CEO,Company Name,Company website,Email,Emp_range,Founded Date,Location,Long_description,Phone,Short_description,Tags,e27_url
201,Edward Senju,Sansan Inc,https://www.sansan.com/,,,June 2007,Japan,"Launched in 2007, Sansan is a  comprehensive cloud-based contact management solution for businesses. Centred on business cards and using a proprietary system of digitisation, it seamlessly organises contacts into a secure online database, accessible at any time via a web or mobile app. The database is optimised and integrated with external information by an advanced AI system and is fully shareable within organisations. Around 6,000 companies worldwide use Sansan, ranging from small businesses to multinationals.

For more information, visit sansan.com.",,Sansan is an AI-savvy technology company offering its namesake cloud-based contact management/CRM tool for corporations.,Platform Enterprise Solution Software as a Service,https://e27.co/startups/sansan-inc
202,Abhishek Singh,Xavio,https://www.xavio.in,,,December 2019,India,"Xavio is a company which is made entirely for India-like client environment. Freelancing in booming in world and there are many platforms for freelancing, but in a country like India clients still believe in meet-up and discuss the deal, even if it is a small project.

They want trust build up. So we started two side platform where we listen to both side. Our business-maker meets the client to get the details and project and then upload the whole detail with audio description to make the demands more clear and our nerd team just only have to work.

The nerds, or we can say developers and designers don't need to discuss and try to make client understand thing. They just need to do work. Thus, making the freelancing more trustworthy and free from disputes of understandings.

Xavio was established in 2018, It's main aim is to break the traditional 9-5 job timeline and reduce the limitation of finding the workable team for specific project. We at Xavio bring people with skills all around the world to work on your project.

We work on almost all the programming languages, software development, mobile app development, graphics design, web-development, devOps . Our work expands to CMS, CRM, SEO, database management content writing etc.",,Xavio is a platform where people from non-technical fields and without much digital knowledge can get their job done by freelancers with the help of a new category of business makers.,Information & Communications Technology Software as a Service,https://e27.co/startups/xavio-infotech
203,"Jiarong Yu,Diana Bykido,Diana Bykido",BYKidO,https://bykido.com,,,June 2016,Singapore,"BYKidO manages a multi-channel event discovery platform for families. We create and share actionable content across our app, website, social media channels and newsletter to help parents easily discover and purchase the latest and most relevant events and experiences for the family. 

For brands, BYKidO drives conversion by connecting them to a relevant audience through a mix of advertising, content creation, and ticketing options. Various brands and business partners work with us to gain access to a targeted audience of young parents through the BYKidO's platform. Through our niche market and content focus, we help partnering brands and business partners achieve better results on their campaigns.

Our content is used by over 60,000+ parents in Singapore, Malaysia, Thailand and Australia monthly. We don't just make parenting easier, we make parenting more fun!",,"BYKidO is a multi-channel event discovery platform for parents to discover and purchase events and experiences for the family, through the creation and sharing of actionable content.",Advertising Consumer E-commerce Entertainment Media,https://e27.co/startups/bykido
204,EMTHINGS Technologies,EMTHINGS Technologies,https://www.emthings.com,,,July 2020,United States of America,EMTHINGS makes innovation easy and fun.,,EMTHINGS makes innovation easy and fun.,Internet of Things Smart Cities,https://e27.co/startups/emthings-technologies-private-limited
205,Matthew Noel Fernandez,microLEAP,https://www.microleapasia.com/about-us/in-the-news/,,,February 2018,Malaysia,"microLEAP is a proudly Malaysian fintech platform and Recognised Market Operator (RMO) that focuses on the microfinance sector.

We provide Issuers (borrowers) access to microfinancing, whereby our Issuers may raise via Islamic as well as Conventional financing. 

Peer-to-Peer (P2P) Financing in Malaysia is an alternative business financing, as well as an alternative investment, tool and we are regulated by the Securities Commission Malaysia (SC). 

microLEAP's unique value proposition is our commitment to helping the microenterprises. Given our selection in the pioneering batch of UNCDF's Financial Innovation Lab B40 Challenge, microLEAP has always looked to be as financially inclusive as we possibly can. 

We provide microinsurance in the form of a Group PA to cover the key person in the event of death or any disability, at no extra cost to our Issuers (borrowers). In the case of our Issuer Trendy Bag, this was her first ever form of business insurance. 

This also acts as a form of mitigation for our Investors, also at no extra cost. With our fellow UNCDF cohort, we're able to provide free basic debt management and accounting training to all our Issuers. 

We also have digitised aspects of the Grameen Model of Group Lending, and have provided an option for a group of 5 Issuers to seek Group Financing (tailored for those Issuers who have an insufficient Credit History/Score individually).

From as little as RM50, you may Invest (lend) into small businesses to help them grow!

To find out more, please head to: 
https://www.microleapasia.com/
https://www.microleapasia.com/about-us/in-the-news/",,"microLEAP is a P2P (Peer-to-Peer) financing platform that allows businesses (MSMEs) to raise crowd-sourced funds.
From as little as RM50, you may Invest (lend) into small businesses to help them grow!",Finance Platform,https://e27.co/startups/microleap
206,Chandima Cooray,ayubo.life,http://ayubo.life,,,June 2017,Sri Lanka,"ayubo.life makes living healthy - easy, affordable and fun !

In healthcare this means - booking a doctor for a consultation or just ask a question, have a video consultation, getting prescription medicine delivered home, requesting sample collection to be done at home for laboratory investigations and getting these results reviewed by a doctor - all without leaving your home.

In wellness it's about finding new things to try out, finding a Zumba class near you, lockdown - then an online Zumba class, options cover fitness, diet and mind or video DR consultations. 

ayubo.life focusses on non-communicable diseases helping users take assessments, screening tests, tracking your data, help set improvement goals and supports in achieving these goals. 

ayubo.life operates a B2B2C business model by,
1. Enabling Telco's engage their users on a healthier lifestyle
2. Corporates to keep their employees healthy
3. Insurance companies to create unique products that cover risks that are not covered normally or reward people for healthy lifestyle
4. Hospitals to create new digital services enhancing revenue as well as new age conveniences for users. 

ayubo.life primiarly operates on a consumer app (both Android and iOS) with certain health services available on web. ayubo.pro is the app for health & wellness professionals - doctors, nurses, public health inspectors, fitness trainers, dietician, psychologists, etc. 

Transforming a person towards a healthier life is not a matter of a single click - it's a collection of clicks. To be able to achieve this ayubo.life believes two key problems need to be solved,
1. Engagement - How to keep the user engaged on wellness conversation continuously
2. Personalisation - How to make everything a user sees relevant to them
This is worked on continuously. 

Currently operating in Sri Lanka with a 75,000+ user base and launch in Bangladesh in partnership with a leading telco with a 40 million user base with 2,000 users acquired in 3 days.",,"ayubo.life with a mission to create healthier nations, makes living healthy - easy, affordable & fun !

Data driven & gamified guided plans with access to a personalized health & wellness marketplace.",Healthtech Insurtech Medtech Artificial Intelligence Marketplace Big Data,https://e27.co/startups/ayubo-life
207,"El Lee,Alexandre Kech,Alexandre Kech",Onchain Custodian Pte Ltd,https://oncustodian.com,,,July 2018,Singapore,"Headquartered in Singapore, Onchain Custodian offers a global, standardised, resilient, insured and compliant custody service for the safekeeping of institutional digital asset investments with incomparable user experience. Onchain Custodian's solution is built with flexibility to meet the possible futures of crypto custody. Onchain Custodian is lead by a highly experienced management team with expertise from blockchain, consulting, custody, crypto, investment banking and securities.
Best practices around digital asset custody are essential to the future of this industry. Onchain Custodian is committed to work with customers and partners to build the global standard for digital asset custody. Our mission is to offer a custody solution which solves the digital asset trilemma of security, convenience & compliance; apply the successful approach to other cutting-edge financial services; ultimately empower the digital transformation of our economy.",,"Onchain Custodian aims to connect capital to opportunities in the digital economy, positioning the company as the top, premium digital asset custodian in Asia Pacific and top 5 globally by 2023.",Finance Blockchain Cybersecurity Platform,https://e27.co/startups/onchain-custodian-pte-ltd
208,Kulmohan Singh,XByte Enterprise Solutions,https://www.xbytesolutions.com,,,January 2012,United States of America,"X-Byte Enterprise Solutions is a progressive technology company aiming to enrich businesses, startups and enterprises with cutting-edge development and technology services. Our core focus on leveraging modern technologies for business growth allows us to provide valuable solutions to help a business stay relevant in the transitioning digital world and take advantage of the digital transformation wave.

We are fueled with the desire to deliver digital solutions every day, and make lives and businesses easier and efficient around the globe. We have delivered 350+ Web & Mobile Apps so far, for 12+ Industries. The company is passionate about building enterprise solutions and mobile applications that work, make sense, and help people.

Services We Offer:
•	UI/UX Designing
•	Website Development
•	Mobile Application Development
•	IoT Automation Solutions
•	Blockchain Solutions

Powered by the immense and ever growing strength of 120+ engineers in-house, we have delivered some of the most challenging digital solution of times.

Our impeccable process and experience of 8 years in the Digital Space, makes us the preferred tech partners for a lot of like minded companies globally.",,"X-Byte Enterprise Solutions is a global digital agency with presence in 3 continents and customers in 24+ countries. We offer 360 degree turnkey solutions on Web, Mobile, Cloud and IoT.",Information & Communications Technology,https://e27.co/startups/xbyte-enterprise-solutions
209,"Farida Charania,Nina Alag Suri,Nina Alag Suri",X0PA Ai Pte. Ltd.,http://www.x0pa.com,,,July 2017,Singapore,"X0PA AI enabled HR tech

What: Singapore founded X0PA uses ethical AI, machine learning and robotic process automation to help companies hire better. The SaaS platform aims to reduce the time and cost of hiring, improve quality, diversity and retention of hires while improving candidate experience. X0PA has solutions for enterprises, recruitment firms as well as for Universities. XOPA enables scalable precision hiring with the highest level of objectivity.

IP: Patents have been filed for XOPA’s models and algorithms, which are based on a dataset of 15 million accumulated over 21 years . X0PA’s unique predictive analytics generate scores such as CV relevance, retention probability, performance predictor as key shortlisting scores amongst other insights about the candidates. Results have an accuracy of c.95%. The AI can also be integrated to other HRIS, ATS platforms, Job Portals etc through its open API. 
 
Team: Comprised of three co-founders led by Nina Alag Suri, for whom X0PA AI is her second ground-up startup and based on her 21 years of experience in the recruitment industry. 
Nina’s other two Co-Founders are: Dr Jussi Keppo, Head of the Data Science department at National University of Singapore and is a visiting faculty at Harvard, Stanford and MIT; and Dr Satnam Singh Co-Founder , PhD Berkley and engineering advisor to the company. 

Track record: Commercially launched in Jan 2019, $535k recorded as first year revenue and ARR forecast for 2020 is $3m. Notable clients include Singapore Government, Finland Government, a variety of polytechnics in Singapore, Sinarmas and Tech Mahindra. 

Partnerships and resellers: Tech and GTM partner of Microsoft and Microsoft for Startups, nVidia, Intel and SAP. Product integrations include Greenhouse, CV-Library, Beamery, Successfactors, Ms Dynamics. Reseller program launched Jan 2020 with 16 partners todate – target 100 by end 2020.

Competitors: Eightfold.ai, Restless Bandit, Linkedin

Raising: $3m at a pr",,"X0PA AI is an AI company in the HR Tech & Ed Tech space, A Microsoft ISV, Part of prestigious Microsoft for Startups, Chosen by IDC as 1 of the 4 innovators for 2019 in the APAC AI Automation.",Artificial Intelligence Human Resources Software as a Service,https://e27.co/startups/x0pa-ai
210,Nadira Mursali,SMART SATU GLOBAL,https://smartsatu.com,,,January 2015,Singapore,"The FMCG sector is in a dire need of digital transformation, losing up to 20% of turnover every year. Most of it is happening on the retailer’s end, with up to 80% of stock replenishment orders still being placed through phone calls and the cash being the king in most markets around the globe.   

SMART SATU offers a unique platform where small and medium-sized RETAIL outlets get free access to product catalogs with exclusive price offers directly from manufacturers and distributors of consumer goods. Orders can be placed around the clock and both locally and internationally.

On the other end, the platform helps MANUFACTURERS and DISTRIBUTORS to optimize expenses while seamlessly receiving orders, accepting cashless payments, defining delivery schedules by districts, initiating targeted promotions and discovering ample opportunities for market data analytics powered by MICROSOFT PowerBI.

Having recently signed a “Global strategic partnership” agreement with VISA, SMART SATU is now offering C2B2B payment services within the platform. BANKS get exclusive access to the SME segment which enables them to accurately assess credit risk and hence provide competitive working capital and overdraft facilities. 

Our integration with VISA’s CyberSource allows SMART SATU to integrate with any bank WORLDWIDE. 
With more than 6,500 outlets in 10 countries in Eurasia and the Middle-East, SMART SATU is preparing to scale to the North America.

SMART SATU has held strategic meetings with MARS, P&G, TitletownTech (by Green Bay Packers and Microsoft Corp.) and is currently at the stage of discussing of terms of launching pilot projects in the United States.

SMART SATU was recognized as the most innovative project in Kazakhstan by EY in 2019, won “EURASIAN DIGITAL PLATFORMS” competition in 2018, participated in WEB SUMMIT in 2018, was awarded №1 START UP in Kazakhstan in “SEEDSTARS WORLD” International Competition in 2016.",,"Our award-winning solutions in inventory and order management, BI analytics, payments, will improve your margins. We enable various FMCG sector stakeholders to gain an edge over competition.",Software as a Service Logistics/Supply Chain Big Data Platform,https://e27.co/startups/smart-satu-global-pte-ltd
211,Shalini Sreekanth,2Hats logic,https://www.2hatslogic.com/,,,January 2012,India,"2Hats Logic was founded in 2012 as a web agency headquartered in Kochi, India. We offer development services for Web & e-commerce, PWAs (Progressive Web Apps), Mobile applications using a variety of modern technologies and frameworks.",,We are a team of dynamic and agile professionals that are passionate about their craft and deliver awesome solutions that make our customers smile and wow!,Kakkanad Software as a Service,https://e27.co/startups/2hats-logic
212,Willynn Ng,Piggyback,http://www.piggyback.sg,,,February 2018,Singapore,"Piggyback was spun off from the Founder's bedroom and personal problem - a wee hour pregnancy craving where she initially thought such services could save distraught and tired husbands from hormones raging sessions and of course unreasonable preggosarus.

The primary aim is to help the small businesses to curate affordable logistics alternatives with 100% successful deliveries and also providing an opportunity for the Community to earn a passive income which is made possible with our extensive logistics walkers network and trusted partnerships.

<< piggyback >> are donned in small letters as we believed that one should not “belittle” themselves and a small effort can lead and build great things of the future. It creates the logistics of tomorrow.

We welcome anyone. Be part of us. The Community that Moves Your Business, on the way, by the way.",,Piggyback aims to connect the Businesses and the Community altogether by providing a platform to matchmake people who need on-demand services and those who need to earn additional income.,Logistics/Supply Chain Mobile Transportation,https://e27.co/startups/piggybacksg
213,"Damian Miles,David Gunson,Caroline Clarke,Riaz Mehta,David Gunson,Caroline Clarke,Riaz Mehta,Caroline Clarke,Riaz Mehta,Riaz Mehta,Riaz Mehta,Riaz Mehta",allrites,http://www.allrites.com,,,January 2017,Singapore,"allrites is a B2B marketplace for film and TV content rights, created by leading industry professionals.  We disrupt a $500B industry where content is transacted the same way its been done for nearly a 100 years - via physical trade fairs and middlemen who take large distribution fees (due to the very manual manner of conducting a trade).   

allrites transforms the entire content buying and selling process by allowing buyers and sellers to transact through the platform thus reducing content distribution costs by 75% and reducing transaction cycle from months to a day.  

Content sellers list their titles for free and only pay a fee once they have sold content on the platform.  Listing process is simple and involves uploading the title, synopsis, rights availability information trailer and screener (episode of a show).   

Buyers (typically broadcasters such as Netflix, MediaCorp etc.) search for content by language, category, keywords, genre.  They shortlist content and make an offer to the seller via the platform.   Once buyer and seller agree a deal, the transaction is conducted via the platform.

We also offer a storage and delivery solution whereby sellers can seamlessly delivery their content to the buyer at the click of a button.  The service is a cost effective way for content owners to store their content on the cloud and have peace of mind that their valuable content is safe and ready for delivery when a buyer requests it.  

We have a stellar founding team with over 50 years combined experience in the entertainment industry.

We are a VC backed company having recently closed our Pre-A round.  Our investors are leading US and Australian VC firms.",,"allrites is Asia’s leading B2B marketplace for film and TV content, which is a $500B industry.   We have a stellar founding team and recently raised $1.1m from well known VC funds in the US, Australia",Enterprise Solution Entertainment Marketplace Media,https://e27.co/startups/allrites
214,Andrew Tan 陈廷豪,Wantedly Singapore,https://www.wantedly.com/,,,September 2010,Singapore,"Wantedly is a social recruiting platform that allows users to find interesting jobs based on their social graphs.

Wantedly is a Tokyo-founded startup that uses the web to make work the most exciting it’s ever been.

To make this happen, Wantedly has created a platform where people and companies meet based on passion and values, rather than money or benefits.",,Wantedly is a social recruiting platform that allows users to find interesting jobs based on their social graphs.,Information & Communications Technology Platform Human Resources,https://e27.co/startups/wantedly
215,"Khanisorn Meepong,Charit Setsuwan,Charit Setsuwan",24 FIX,http://www.24fix.co,,,August 2018,Thailand,"24 FIX is an investor-backed one-stop maintenance service platform based in Bangkok. We offer maintenance solutions to all type and size of users. Especially for business accounts, our service extends to areas such as material marketplace, inventory management, and predictive and preventive maintenance with the integration of our computerized maintenance management system. 

Unlike other platforms, we are not just a matchmaker between clients and agents but a real end-to-end service provider. Recognizing that property maintenance is an elaborate practice that requires specialized knowledge, we have a dedicated team who control the process from start to finish, ensuring that our services are of the highest standard. Today our ecosystem holds more than 500 active fixer teams and 500 material vendor stores.

Our mission is to elevate the standard of the maintenance service, and our goal is to become the number one full-scale home service platform in Southeast Asia.

For corporate service enquiries and strategic partnerships, please reach out to:
business@24fix.co

For investment opportunities, please reach out to:
investor@24fix.co",,24 FIX is an end-to-end maintenance service platform that combines expertise in construction with a computerized maintenance management system to deliver solutions all type and size of users.,Architecture & Construction Enterprise Solution Real Estate Software as a Service,https://e27.co/startups/24-fix
216,Fatih Akkocaoğlu,Listinguish,https://listinguish.com,,,January 2017,Turkey,"In a competitive e-commerce environment, your customers will want to buy the most affordable product. Listinguish tracks your competitors and allows you to sell your product at the highest profit. Listinguish makes your work and life easier!",,"Listinguish, the easiest way to increase your e-commerce sales.",E-commerce,https://e27.co/startups/listinguish
217,Ben Ho,Talentbank,https://www.talentbankgroup.com,,,February 2011,Malaysia,"Talentbank is a Malaysian based career discovery centre focused in producing career-ready candidates of all disciplines by providing them with a wide range of masterclass-level workshops and soft-skills-building community activities, and helping them kick-start their careers by connecting them with industry leaders that welcome prime talent.",,"Award-Winning Recruitment, Employer Branding & Education Specialist",Human Resources Big Data Marketplace Education,https://e27.co/startups/talentbank
218,"Shaun Lim Liang Soon,Katharine Lai,Katharine Lai",I TASK PTE LTD,http://www.itask.com.sg,,,September 2018,Singapore,"iTask is an on-demand talents service marketplace mobile app platform creates the opportunity to improve the community’s living quality. iTask serve as gig-economy and economy sharing mobile app platform. With this simple platform that we’ve created, we want to help connect people who’re ready to work or with people who needs the work done. iTask aim to transform Southeast Asia service market with iTask big data and artificial intelligent. Our platform assists to help people get their tasks done in a faster and more economical way. By 2030, we aim to serve 0.4 million frequent users in SEA as well as 4 million users in the same region. iTask also targets 0.1% of the 400 million people living in urban areas to register as a frequent user, which is equivalent to 0.4 million users with an average of 15 tasks completed in a month.

From a simple task like changing light bulbs to more complicated tasks such as designing a professional website, iTask provides a wide range of tasks available to link up those who needs their task to be done and those who needs extra income to improve their living quality. Other categories of tasks include cleaning, beautician, repair man, promoter, or basically any type of job/errands people need help with. With an exclusive addition of no registration fees incurred, everyone has an equal opportunity to create a better future for their own.

iTask achievements throughout the journey
•	Around 20 – 30% month on month users’ growth
•	40% of iTask users are monthly active users; Cost per user acquisition as low as USD$0.23

Alongside the usage of our app, positive feedbacks and impressions were also garnered by users who find our interface extremely easy to use, which in turn helped them to post or accept any tasks within a click of a finger. iTask is the most ideal community and platform everyone can turn to to transform a person’s life in the future ahead, just exactly like what our mission says: “We create opportunities for everyone""",,"iTask is the best free marketplace that connects businesses and people to millions of people who are ready to help complete tasks, jobs and errands.",Big Data Marketplace Platform,https://e27.co/startups/i-task-pte-ltd
219,Geraldy Tony,Wahyoo,https://wahyoo.com/,,,January 2018,Indonesia,"Wahyoo is a technology company that provides added value and benefits stalls in Indonesia.

Our commitment is to help the entrepreneurs of food stalls to be more prosperous and more successful by standardizing services, helping to promote and pay attention to the needs of the stall owners.",,We are a technology company that provides added value and benefits stalls in Indonesia,Mobile,https://e27.co/startups/wahyoo
220,Jesper Kauth,Rebatemango Pte Ltd,http://Rebatemango.com,,,May 2017,Singapore,"Rebatemango builds and operates the infrastructure that powers loyalty in Asia. With more than 1 million members in South East Asia, Rebatemango uniquely offers members a choice of rewards every time they shop - earn airline miles, cashback, points and more. 
At the same time, Rebatemango works with an unparalleled suite of partners. Singapore Airlines, Malaysia Airlines, Thai Airways, Philippine Airways, Cebu Pacific, AirAsia, Citibank, DBS, Standard Chartered, Grab and many more. We empower our partners to offer rewards to their members whenever they shop. In a time when airlines make more money from selling miles than from flying airplanes, getting access to vastly grow the amount of miles sold is extremely enticing. 
We have grown extremely fast at Rebatemango and our growth continues to accelerate. With millions of dollars in transactions running through our system, we keep integrating closer with our partners as we empower them, and us, to provide the best rewards to shoppers in Asia.",,Rebatemango builds and operates the infrastructure that powers loyalty in Asia. From airline miles and points rewards to cashback on our own and partner platforms.,Big Data E-commerce,https://e27.co/startups/rebate-mango-pte-ltd
221,"Ario Tamat,Aria Rajasa Masna,Aria Rajasa Masna",KaryaKarsa,https://karyakarsa.com,,,October 2019,Indonesia,"KaryaKarsa is a patronage model site which primarily employs mobile wallets to enable payments from fans and audiences to their favorite creators. Creators sign up, and after a curation process can build our their pages, pricing tiers and offerings, and promote their page to their audiences. In essence, we want to help creators with audiences finally make money and a living from their work.",,"We help digital creator receive patronage support or purchase of works from their audience's mobile wallets, making it easier for them to live with their creative works.",Entertainment,https://e27.co/startups/karyakarsa
222,"Ava de Guzman,Jayfer Balecha,Zhi Liang Lam,Lee Anonas,Kenneth See,Jayfer Balecha,Zhi Liang Lam,Lee Anonas,Kenneth See,Zhi Liang Lam,Lee Anonas,Kenneth See,Lee Anonas,Kenneth See,Lee Anonas,Kenneth See,Lee Anonas,Kenneth See",Suki Plus Technologies Inc. (SukiPlus),http://www.sukiplus.com,,,July 2019,Philippines,"There are two main actors in Traditional Lending to Micro & Small Businesses, and both of them face major challenges  For banks, the lack of client identification documents, high administrative costs & low volumes per account perpetuate the belief that the market is not worth exploring.  For micro/small business entrepreneurs, the bank’s complicated requirements & subsequent unavailability of mainstream credit make them vulnerable to loan sharks charging usurious rates.  

SukiPlus is a platform that connects unbanked entrepreneurs to mainstream financial institutions, using alternative data & retail solutions to help them get access to working capital loans at more reasonable rates.

By collecting alternative data related to a micro-entrepreneur’s business & consolidating them into networks, we show banks that these entrepreneurs are of good standing, that volumes are big enough, and that building a business relationship with them is sustainable.

By working with already existing partners in the unbanked entrepreneur’s community & by having complementary offline operational support, we promote trust in the system and encourage the shift to availing mainstream & reasonable credit.

As an independent platform, SUKIPLUS aim is to be the promoter of trust for both Financial Institutions and the Unbanked Entrepreneurs.   We ensure that Interest and Non-Performing Loans Rates are managed, and that the business will be sustainable.",,"A platform connecting unbanked micro-entrepreneurs to mainstream financial institutions, using alternative data & retail solutions to help them get access to working capital loans at reasonable rates.",Finance Platform Retail Software as a Service,https://e27.co/startups/suki-plus-technologies-inc
223,"Colin Teo,War War Ye Myint,War War Ye Myint",FLOW,https://www.flow-tech.ai/,,,February 2016,Singapore,"Founded in 2016, Flow is a credit management company that is transforming the business of unsecured consumer finance through AI technologies and ethical practices in the APAC region. One-size-fits-all approach of traditional debt collection is limiting for both lenders and borrowers.

Redefining debt collection begins with creating personalised, digital-first experiences that help consumers overcome their financial difficulties. Flow’s data-driven collection strategies have proven remarkable recovery rates for top financial institutions and have supported over 2.8 million consumers to date. Headquartered in Singapore, the company launched in Vietnam and has since expanded to Indonesia and India.",,"Revolutionizing debt collection in Asia - Ethical, digital debt collection through customer-centric operational processes integrated with AI technologies.",Consumer Finance Artificial Intelligence,https://e27.co/startups/flow-tech
224,"Ronja Dornfeld,Siewyee Bay,Siewyee Bay",StashAway,https://www.stashaway.sg/,,,September 2016,Singapore,"Leveraging advanced technology to enhance investing strategies, we deliver low-cost, intelligent, and personalised investing services to financially empower individuals in Singapore.

Supported by prominent advisors in Singapore, the StashAway team is committed to providing investment advice and customer experience of the highest quality. Our team is composed of fund managers, developers, and engineers from Southeast Asia and Europe with deep experience working for CitiGroup, Merrill Lynch, Goldman Sachs, UBS, and hedge funds, amongst others.

StashAway is led by its three founders, Michele Ferrario, former CEO of ZALORA Group; Freddy Lim, former Global Head of Derivatives Strategy for Nomura; and Nino Ulsamer, founder of several technology companies around the world. The company was founded in Singapore in 2016 with the ambition of expanding to other fast-growing APAC markets as soon as 2018.

StashAway recently secured a S$4.08m funding, S$780k of which is seed by the co-founders and a few angels, and S$3.3m from pre-series A, led by Francis Rozario. 
 
Rozario is a banking veteran who spent 28 years at Citibank and previously headed Temasek Holdings’ financial services subsidiary, Fullerton Financial Holdings, for eight years, will join StashAway’s board of directors.",,StashAway is Singapore's B2C digital wealth management platform that builds personalised investment portfolios to help consumers achieve their financial goals. Expanding to APAC markets in 2018!,Finance,https://e27.co/startups/stashaway
225,"Kan Le,Steven Tannason,Steven Tannason",Aman,https://aman.us,,,April 2020,Indonesia,"Aman provides modern technology for growing companies to set up and manage their employee benefits, simplifying complexity of benefit administation and delivering a world-class experience. Our platform enables companies to competitively recruit, engage and retain top talents.",,"Transform your employee benefits experience with one central, easy-to-use platform",Insurtech Human Resources Enterprise Solution,https://e27.co/startups/aman
226,Yvonne Yeo,Relogo Pte. Ltd.,http://coliving.relogo.sg/,,,October 2018,Singapore,"Founded in 2018 in Singapore, Relogo is a relocation and real estate tech company. We have two platforms: Relogo Relocation and Relogo Coliving. 

Relogo Relocation is a one-stop platform offering a-la-carte relocation services to empower self-managed moves. Our goal is to make relocation affordable and accessible for everyone; from students to senior executives. 

Relogo Coliving is a home rental platform that showcases local coliving brands to an international audience, while users can browse availabilities across a variety of professionally managed flat-shares and private apartments, with smart search technology to recommend listings based on user’s profile and search criteria.",,"Relogo Coliving is a marketplace that aggregates the best coliving listings in each city so users can easily browse, compare and book a coliving apartment for short or long term stay.",Marketplace Real Estate,https://e27.co/startups/relogo-pte-ltd
227,Ryan Rudkin,HeadTech 1o1,http://www.headtech1o1.com,,,May 2020,Singapore,"HeadTech 1o1 is the idea of Ryan Rudkin, a well-known and much respected trainer of Referee & Judges for Muaythai worldwide.

Our founder's aim is to provide Olympic standard tuition globally to combat sports enthusiasts, a central community resource hub, and a means to gain accreditation irrespective of location.

Ryan spearheaded a rewrite of the rulebook for Muaythai for the upcoming Olympic worldwide events, and is the rules consultant for MMA worldwide.

His career as a Muaythai referee & judge spans 15 years, and he has identified several fundamental flaws with the tuition for combat sports technical officials, that he aims to correct and enhance.

*We are currently seeking a lead investor",,"The First, Online Olympic Level Training and Certification for Technical Officials of Combat Sports.",Education,https://e27.co/startups/headtech-1o1
228,Rajan Rawal,ThinkTanker - Web & eCommerce Development Company,https://www.thinktanker.io/,,,December 2013,United States of America,"ThinkTanker Inc. is Top Rated Website Application Development Company based in USA, offer expertise website application development services for small & medium size business. Our Core Technology expertise is Laravel Development, Shopify Development, Nodejs Development, Reactjs Development, ReactNative Development. You can hire our dedicated developer on monthly basis to save your cost of development upto 70%. Make Enquiry today. Website : https://www.thinktanker.io/",,"Top Web & eCommerce Development Company India, Dubai & Poland - www.thinktanker.io",E-commerce Advertising,https://e27.co/startups/thinktanker-web-ecommerce-development-company
229,"Intharee charutsuphakiat,Varaporn P,Metawee Kreekam,Arada Suwanwong,Ain Paphawarin,natthapon detitsarawong,Varaporn P,Metawee Kreekam,Arada Suwanwong,Ain Paphawarin,natthapon detitsarawong,Metawee Kreekam,Arada Suwanwong,Ain Paphawarin,natthapon detitsarawong,Arada Suwanwong,Ain Paphawarin,natthapon detitsarawong,Arada Suwanwong,Ain Paphawarin,natthapon detitsarawong,Arada Suwanwong,Ain Paphawarin,natthapon detitsarawong","Swiftlet Co., Ltd",http://swiftlet.co.th,,,March 2012,Thailand,"The goal at Swiftlet is clear: We aim to be the best IT company in Thailand that delivers the highest value to the customer. 

We intend to create world-class solutions and novel innovations for all business sizes and industries. 
One of our core services is Terebinth Cloud ERP; an Affordable cloud ERP and MRP system with RPA and ML extensions.

The Terebinth Cloud ERP:
A business process and Management Information System on the cloud. Insights into everything you need, access from anywhere any devices, works for you around the clock. Extremely flexible, adapted to fit your needs with Robotic Process Automation (RPA) built-in. Mundane, repetitive tasks should be automated. Your time is better spent on strategy and creativity. Expanding capabilities with the REST API call to integrate with other platforms.

Unfair Advantage:
- 100% code ownership, fast adoption of new ideas, fast delivery of new features.
- Extremely flexible, customize to the business-specific requirement, suitable for each business type. 
- Very low Total Cost of Ownership, Month to month contract, very easy to get started.

Partner:
Swiftlet is Mitsubishi Electric AF e-Factory Alliance member.

We are looking for up to $2,000,000 for 20% of ownership.
To investment in Terebinth Cloud ERP:
- Hiring the best people for consulting and development
- New features expansion
- Sales and Marketing effort",,Agile Software Development company. We provide world-class software services and affordable ERP solutions.,Information & Communications Technology,https://e27.co/startups/swiftlet-co-ltd
230,,fave,http://www.fave.my/,,,November 2014,Malaysia,"Fave is a curated marketplace where independent local brands in Malaysia connect, sell and shop handmade, vintage, craft supplies and amazing goods.

Their Creative Malaysians have awesome brands & products but there's no specific place to showcase them. So they introduce fave.my

Fave brings you discounted offers on awesome things to eat, do, see and experience in your city. Enjoy low prices every day with Fave and save up to 70% at your favourite restaurants, cafes, spas, salons, gyms and more. Browse hundreds of deals in your city and discover local favourites every day. Explore, purchase and redeem seamlessly in just a few taps. Deciding what to eat and do has never been easier!",,"Fave is a curated marketplace where independent local brands in Malaysia connect, sell and shop handmade, vintage, craft supplies and amazing goods.",Design E-commerce Information & Communications Technology,https://e27.co/startups/favemy
